CEP,longitude,latitude,uf
29112430,-40.3573049,-20.3650984,ES
29119700,-40.3354989,-20.3429689,ES
29103070,-40.3265683,-20.3874044,ES
29145090,0.0,0.0,
29145405,-40.4041875,-20.346740899999997,ES
29141660,-40.368539500000004,-20.3519059,ES
29150080,-40.378856899999995,-20.3245338,ES
29145060,-40.3901805,-20.3542466,ES
29031507,-40.340743599999996,-20.2959815,ES
29112690,-40.361923299999994,-20.3640206,ES
29147620,0.0,0.0,
29030018,0.0,0.0,
29306020,-41.0967949,-20.854674300000003,ES
29307160,-41.108124700000005,-20.844846,ES
29302862,0.0,0.0,
29304530,-41.1135528,-20.853688899999998,ES
29305160,-41.1060005,-20.857706600000004,ES
29306726,-41.10183060000001,-20.841652800000002,ES
29310550,0.0,0.0,
29104530,-40.3201373,-20.3648304,ES
29150502,-40.372422799999995,-20.3210366,ES
29047280,-40.3108567,-20.299014899999996,ES
29115045,-40.3362916,-20.3328009,ES
29210350,-40.518970700000004,-20.661421100000002,ES
29945240,0.0,0.0,
29705200,-40.6582436,-19.5133729,ES
29708120,-40.6195364,-19.5499496,ES
29700846,-40.6231819,-19.5373348,ES
29719010,0.0,0.0,
29326990,0.0,0.0,
29101250,-40.282294,-20.3330944,ES
29106110,-40.304555,-20.349998499999998,ES
29142391,-40.37236350000001,-20.3652965,ES
29103775,-40.3186769,-20.376377800000004,ES
29113070,-40.352559,-20.3696328,ES
29216640,-40.4852037,-20.644364000000003,ES
29051010,0.0,0.0,
29303120,-41.1169352,-20.851262,ES
29314115,0.0,0.0,
29306340,-41.10718060000001,-20.8525728,ES
29306785,-41.1013526,-20.8491433,ES
29308290,0.0,0.0,
29310720,-41.146581899999994,-20.8489605,ES
29314795,-41.103876299999996,-20.8755879,ES
29309750,-41.1302033,-20.8236075,ES
29302470,-41.1289064,-20.848399399999998,ES
29302210,-41.1346307,-20.853649800000003,ES
29941640,-39.8799526,-18.714719600000002,ES
29160006,0.0,0.0,
29157288,-40.3849118,-20.251547199999997,ES
29943760,0.0,0.0,
29704110,-40.654513,-19.5198056,ES
29906490,-40.0500125,-19.3515996,ES
29903200,0.0,0.0,
45930000,-39.734338,-18.1573155,BA
29042010,0.0,0.0,
29303190,-41.118994799999996,-20.8524983,ES
29042720,-40.3174768,-20.3027768,ES
29141859,0.0,0.0,
29302849,-41.1236208,-20.8489405,ES
29309702,-41.131370600000004,-20.824071,ES
29302050,-41.1327435,-20.850852800000002,ES
29302055,0.0,0.0,
29302350,-41.1293985,-20.849952,ES
29313450,-41.1519276,-20.8315964,ES
29306570,-41.1066894,-20.846308999999998,ES
29302380,-41.131170700000006,-20.8516138,ES
29310512,0.0,0.0,
29305444,0.0,0.0,
29301350,-41.13172120000001,-20.8375406,ES
29306743,-41.1019093,-20.843075,ES
29309020,0.0,0.0,
29309256,-41.1122741,-20.840316100000003,ES
29160120,0.0,0.0,
35220000,-41.0998636,-19.341051500000003,MG
29115020,-40.3410799,-20.328103,ES
29210155,-40.5103075,-20.6666427,ES
29213380,0.0,0.0,
29116010,-40.335977299999996,-20.3356395,ES
29120100,-40.321464500000005,-20.3379699,ES
29127057,-40.3578195,-20.4387626,ES
29127031,-40.3536749,-20.442059,ES
29117315,-40.3428956,-20.347481600000002,ES
29118645,-40.3314325,-20.3495307,ES
29115046,0.0,0.0,
29106280,-40.303916799999996,-20.3464986,ES
29111135,0.0,0.0,
29107095,0.0,0.0,
29106450,-40.3009828,-20.343431,ES
29107165,0.0,0.0,
